"prior","output"
"& small","plates"
"& social","media"
"& some","love"
"& still","getting"
"& stones","may"
"& t","s"
"& that","s"
"& the","gang"
"& there","s"
"& they","don"
"& thx","4"
"& u","don"
"& vinegar","chips"
"& w","/"
"& was","told"
"& we","ll"
"& well","done"
"& wine","bar"
"& world","report"
"& would","love"
"& you","re"
"& your","family"
"* *","*"
"* 1","/"
"* 2","–"
"* ahem","*"
"* all","*"
"* am","*"
"* and","*"
"* big","hugs"
"* blushes","*"
"* c","/"
"* can","t"
"* computer","freezes"
"* cough","*"
"* dies","*"
"* don","t"
"* dress","like"
"* excited","*"
"* facepalm","*"
"* gasp","*"
"* giggle","*"
"* giggles","*"
"* gulp","*"
"* hangs","head"
"* happy","birthday"
"* headdesk","*"
"* high","five"
"* hint","hint"
"* hugs","*"
"* i","m"
"* is","*"
"* it","s"
"* just","*"
"* like","*"
"* love","*"
"* make","sure"
"* mary","kay"
"* might","*"
"* my","*"
"* no","one"
"* nods","*"
"* not","*"
"* raises","hand"
"* real","*"
"* seems","*"
"* should","*"
"* shrug","*"
"* shrugs","*"
"* sigh","*"
"* sighs","*"
"* smiles","*"
"* snort","*"
"* somebody","said"
"* starts","clicking"
"* still","*"
"* swoon","*"
"* tear","*"
"* that","*"
"* the","*"
"* their","*"
"* there","s"
"* they","re"
"* think","*"
"* this","*"
"* waves","*"
"* we","re"
"* what","s"
"* yawn","*"
"* you","re"
"* …","*"
"** d","xi"
"+ 0","2"
"+ 1","rt"
"+ 10g","s"
"+ 44","0"
"+ degrees","today"
"+ dumb","woman"
"+ gps","love"
"+ hangout","rt"
"+ i","m"
"+ it","s"
"+ now","20twelve"
"+ smart","woman"
"+ years","old"
"/ 01","/"
"/ 04","/"
"/ 05","/"
"/ 06","/"
"/ 08","/"
"/ 09","/"
"/ 1","/"
"/ 10","/"
"/ 100","points"
"/ 11","/"
"/ 12","/"
"/ 13","/"
"/ 14","/"
"/ 15","/"
"/ 16","/"
"/ 17","/"
"/ 18","/"
"/ 19","/"
"/ 1983","“"
"/ 1984","“"
"/ 1985","“"
"/ 1995","“"
"/ 2","cup"
"/ 20","/"
"/ 2010","sell"
"/ 2010ac","/"
"/ 2011","fee"
"/ 2012","/"
"/ 21","/"
"/ 22","/"
"/ 23","/"
"/ 24","/"
"/ 25","/"
"/ 26","/"
"/ 27","/"
"/ 28","/"
"/ 29","/"
"/ 3","cup"
"/ 30","/"
"/ 300","grams"
"/ 31","/"
"/ 4","cup"
"/ 5","/"
"/ 6","/"
"/ 7","/"
"/ 8","/"
"/ 8th","inch"
"/ 9","/"
"/ 90","s"
"/ a","lot"
"/ about","/"
"/ article","php"
"/ at","least"
"/ barbecue","smoker"
"/ bladder","infections"
"/ blu","ray"
"/ body","/"
"/ c1d0s2","/"
"/ cl","d"
"/ default","aspx"
"/ dev","/"
"/ dl","–"
"/ don","t"
"/ dp","/"
"/ dsk","/"
"/ dws","cash"
"/ e","ratio"
"/ event","php"
"/ f","/"
"/ family","&"
"/ faulkner","php"
"/ fb","/"
"/ fire","/"
"/ flip","flops"
"/ fort","worth"
"/ ft","worth"
"/ green","/"
"/ hate","relationship"
"/ her","favorite"
"/ i","love"
"/ id","/"
"/ index","php"
"/ inv","r"
"/ investor","r"
"/ it","s"
"/ l2tp","/"
"/ lib","/"
"/ life","balance"
"/ lose","situation"
"/ lunch","/"
"/ mile","pace"
"/ morgan","2"
"/ my","17"
"/ new","york"
"/ news","/"
"/ newt","gingrich"
"/ no","cover"
"/ o","2"
"/ opt","/"
"/ or","amazon"
"/ p","/"
"/ page","arizona"
"/ prnewswire","/"
"/ projects","/"
"/ r","&"
"/ satellite","tv"
"/ science","fiction"
"/ service","h"
"/ she","/"
"/ social","media"
"/ sr","/"
"/ sstp","server"
"/ staten","island"
"/ that","s"
"/ the","new"
"/ time","”"
"/ trust","r"
"/ victoria","sept"
"/ vrtsddlpr","/"
"/ w","/"
"/ watch","v"
"/ weight","6"
"/// i","m"
"0 %","chance"
"0 0","0"
"0 00","0"
"0 01","0"
"0 02","0"
"0 03","0"
"0 05","0"
"0 1","percent"
"0 1474","816043"
"0 2","percent"
"0 3","percent"
"0 4","percent"
"0 5","percent"
"0 50","0"
"0 52","0"
"0 6","0"
"0 7","percent"
"0 8","percent"
"0 9","percent"
"0 a","new"
"0 for","4"
"0 g","trans"
"0 last","week"
"0 liter","turbocharged"
"0 mg","cholesterol"
"0 rebounds","per"
"0 series","lead"
"0 this","year"
"0 wilde","lake"
"0 ?","0"
"0 —","1"
"00 0","00"
"00 9","00"
"00 a","m"
"00 am","walk"
"00 american","funds"
"00 bbif","money"
"00 blackrock","liquidity"
"00 bofa","cash"
"00 draft","beers"
"00 dreyfus","basic"
"00 first","amer"
"00 gift","certificate"
"00 janus","mmf"
"00 p","m"
"00 pm","4"
"00 prometheus","books"
"000 0","—"
"000 000","0"
"000 02","28"
"000 03","14"
"000 04","02"
"000 a","year"
"000 and","$"
"000 barrels","per"
"000 each","year"
"000 for","women"
"000 grand","prize"
"000 he","said"
"000 illegal","immigrants"
"000 in","2011"
"000 it","s"
"000 jobs","added"
"000 last","year"
"000 miles","away"
"000 of","assessed"
"000 on","top"
"000 or","$"
"000 people","attended"
"000 per","year"
"000 plus","employees"
"000 price","tag"
"000 public","employees"
"000 she","said"
"000 sq","ft"
"000 square","feet"
"000 that","s"
"000 the","highest"
"000 there","s"
"000 they","said"
"000 this","year"
"000 to","$"
"000 u","s"
"000 volunteer","hours"
"000 with","payments"
"000 would","pay"
"000 year","old"
"000 years","ago"
"000 young","adults"
"001 000","0"
"00a we","pledge"
"01 /","05"
"01 0","01"
"01 capital","assets"
"01 cni","charter"
"01 columbia","vp"
"01 daily","income"
"01 dws","mm"
"01 fidelity","us"
"01 fifth","third"
"01 jpmorgan","us"
"01 million","viewers"
"01 p","m"
"02 /","28"
"02 0","02"
"02 28","12"
"02 a","m"
"02 jpmorgan","prime"
"03 0","03"
"03 09","12"
"03 14","12"
"03 jpmorgan","us"
"04 /","12"
"04 00","pdt"
"04 02","12"
"04 a","m"
"05 /","11"
"05 0","05"
"05 01","20"
"05 08","/"
"05 p","m"
"06 p","m"
"07 a","m"
"08 /","11"
"08 p","m"
"0844 880","2010"
"09 a","m"
"09 per","gallon"
"1 &","2"
"1 /","2"
"1 0","lead"
"1 00","pm"
"1 000","followers"
"1 000th","follower"
"1 06","left"
"1 1","/"
"1 110","sf"
"1 14","p"
"1 144","delegates"
"1 15","p"
"1 2","million"
"1 21","p"
"1 25","billion"
"1 3","/"
"1 30","p"
"1 300","people"
"1 34","0"
"1 4","million"
"1 45","million"
"1 46","0"
"1 48","0"
"1 5","million"
"1 500","miles"
"1 6","billion"
"1 600","meter"
"1 646","397"
"1 65","billion"
"1 7","million"
"1 76","million"
"1 8","million"
"1 9","million"
"1 <","3"
"1 a","m"
"1 above","pp"
"1 albert","pujols"
"1 and","2"
"1 at","4"
"1 billion","budget"
"1 block","south"
"1 color","print"
"1 cor","2"
"1 corinthians","15"
"1 cup","sugar"
"1 didn","t"
"1 dolby","digital"
"1 don","t"
"1 everywhere","favorite"
"1 for","5"
"1 friday","7"
"1 g","saturated"
"1 green","pepper"
"1 how","s"
"1 i","m"
"1 in","5"
"1 inch","cubes"
"1 it","s"
"1 john","2"
"1 looks","like"
"1 million","annually"
"1 month","ago"
"1 more","day"
"1 new","grist"
"1 of","2"
"1 on","1"
"1 or","2"
"1 overall","pick"
"1 p","m"
"1 per","cent"
"1 percent","milk"
"1 peter","5"
"1 point","”"
"1 points","per"
"1 preheat","oven"
"1 ranked","division"
"1 s","&"
"1 seed","w"
"1 she","will"
"1 social","media"
"1 street","tacos"
"1 table","spoon"
"1 tablespoon","oil"
"1 teaspoon","salt"
"1 that","s"
"1 the","city"
"1 thessalonians","4"
"1 this","season"
"1 to","2"
"1 top","workplace"
"1 trillion","dollars"
"1 we","already"
"1 what","s"
"1 will","remain"
"1 yard","run"
"1 year","old"
"1 you","must"
"1 yr","old"
"1 –","1"
"10 $","5"
"10 %","discount"
"10 +","years"
"10 /","12"
"10 0","run"
"10 00","10"
"10 000","meter"
"10 1","/"
"10 11","&"
"10 12","four"
"10 15","p"
"10 2","record"
"10 20","12"
"10 30","p"
"10 30am","3"
"10 4","good"
"10 5","million"
"10 58","ounces"
"10 6","million"
"10 a","m"
"10 am","et"
"10 an","hour"
"10 and","11"
"10 card","win"
"10 cents","per"
"10 customers","every"
"10 day","contract"
"10 days","ago"
"10 favorite","restaurants"
"10 for","kids"
"10 gift","certificate"
"10 i","m"
"10 it","s"
"10 million","less"
"10 minute","walk"
"10 minutes","turning"
"10 months","ago"
"10 more","days"
"10 of","22"
"10 or","11"
"10 ounce","packages"
"10 p","m"
"10 page","paper"
"10 people","follow"
"10 per","person"
"10 percent","option"
"10 ppl","following"
"10 tested","positive"
"10 that","s"
"10 to","15"
"10 year","old"
"10 years","ago"
"10 you","re"
"10 yr","old"
"10 yrs","ago"
"100 %","sure"
"100 +","followers"
"100 /","100"
"100 000","people"
"100 a","year"
"100 and","interstate"
"100 degree","heat"
"100 followers","thanks"
"100 gas","card"
"100 gift","certificate"
"100 investment","bankers"
"100 meter","dash"
"100 mg","/"
"100 mile","radius"
"100 miles","per"
"100 word","song"
"100 year","old"
"100 years","ago"
"1000 of","people"
"101 year","old"
"106 &","park"
"10th concert","win"
"10u 12u","14u"
"11 &","12"
"11 /","11"
"11 1","/"
"11 11","follow"
"11 12","13"
"11 2001","terrorist"
"11 30","p"
"11 4","1"
"11 40","p"
"11 45","2"
"11 55","p"
"11 59","pm"
"11 59pm","est"
"11 8","percent"
"11 a","m"
"11 and","younger"
"11 commission","report"
"11 days","later"
"11 for","three"
"11 have","won"
"11 i","wish"
"11 k","s"
"11 kansas","city"
"11 member","council"
"11 million","jobs"
"11 o","clock"
"11 of","us"
"11 p","m"
"11 percent","increase"
"11 pm","est"
"11 school","year"
"11 terrorist","attacks"
"11 year","old"
"11 years","ago"
"1115 bastrop","hwy"
"1118 calories","total"
"12 /","31"
"12 0","clock"
"12 00","pm"
"12 1","110"
"12 13","minutes"
"12 15","minutes"
"12 2","million"
"12 20","p"
"12 30","p"
"12 5","percent"
"12 6","pm"
"12 a","m"
"12 above","pp"
"12 academic","year"
"12 and","18"
"12 at","1"
"12 buckeye","lanes"
"12 foot","high"
"12 for","23"
"12 four","packs"
"12 home","games"
"12 hour","shifts"
"12 hours","later"
"12 i","ll"
"12 isn","t"
"12 lake","oswego"
"12 member","state"
"12 o","clock"
"12 or","13"
"12 p","m"
"12 percent","drop"
"12 regular","season"
"12 school","year"
"12 slice","pizza"
"12 step","program"
"12 that","s"
"12 this","year"
"12 to","$"
"12 top","self"
"12 tribe","spinning"
"12 year","old"
"12 years","ago"
"120 000","jobs"
"125 /","15"
"125 000","words"
"125 per","person"
"1260 am","pet"
"128 pierrepont","st"
"12th grade","foothill"
"12th richest","person"
"12u 14u","16u"
"13 /","2012"
"13 1","miles"
"13 5","percent"
"13 7","million"
"13 at","bats"
"13 for","violence"
"13 i","think"
"13 miles","north"
"13 month","old"
"13 points","apiece"
"13 school","year"
"13 seconds","left"
"13 the","following"
"13 to","$"
"13 year","old"
"13 years","old"
"1323 e","brady"
"14 12","1"
"14 2","billion"
"14 28","29"
"14 3","million"
"14 5","percent"
"14 6","million"
"14 9","million"
"14 a","m"
"14 and","15"
"14 million","since"
"14 more","days"
"14 p","m"
"14 per","cent"
"14 percent","bigger"
"14 that","s"
"14 year","old"
"14 years","ago"
"14 yr","old"
"14 ?","48"
"140 martin","luther"
"14th i","m"
"14u 16u","18u"
"15 /","12"
"15 000","square"
"15 20","minutes"
"15 300","block"
"15 5","billion"
"15 6","points"
"15 a","m"
"15 and","8"
"15 cents","per"
"15 day","disabled"
"15 feet","high"
"15 million","project"
"15 minutes","late"
"15 or","20"
"15 p","m"
"15 to","20"
"15 year","old"
"15 years","ago"
"15 yr","old"
"150 per","person"
"150 to","160"
"16 &","pregnant"
"16 /","2011"
"16 000","people"
"16 5","16"
"16 8","percent"
"16 9","points"
"16 cfr","part"
"16 congressional","districts"
"16 g","fat"
"16 games","last"
"16 i","m"
"16 postseason","teams"
"16 today","please"
"16 year","old"
"16 years","old"
"160 000","people"
"16002 e","smith"
"168 prosecutors","said"
"16th street","mall"
"16u 18u","lehigh"
"17 /","12"
"17 6","percent"
"17 99","ages"
"17 a","m"
"17 million","chance"
"17 month","old"
"17 to","$"
"17 year","old"
"17 years","ago"
"17 yr","old"
"18 20","also"
"18 3","points"
"18 and","older"
"18 foot","birdie"
"18 g","carbohydrate"
"18 i","believe"
"18 m","p"
"18 month","old"
"18 months","ago"
"18 p","m"
"18 to","24"
"18 year","old"
"18 years","old"
"183 at","71"
"183 austin","tx"
"1899 east","22nd"
"18th and","19th"
"18u lehigh","valley"
"19 /","2012"
"19 0","05"
"19 and","20"
"19 i","ve"
"19 month","old"
"19 to","$"
"19 year","old"
"19 years","old"
"1906 it","s"
"1920s and","30s"
"1944 all","star"
"1950 ?","s"
"1950s and","60s"
"1951 and","attended"
"19575 sebastian","way"
"1960 grand","national"
"1960s and","70s"
"1970 the","horse"
"1970 ?","s"
"1983 i","ve"
"1990 and","1992"
"1995 and","2005"
"1996 cricket","world"
"1996 the","building"
"19th and","vine"
"19th century","children"
"1st and","2nd"
"1st birthday","party"
"1st i","m"
"1st round","pick"
"1st time","since"
"2 %","milk"
"2 +","2"
"2 /","3"
"2 0","lead"
"2 00","pm"
"2 000","years"
"2 05","4"
"2 1","/"
"2 10","p"
"2 100","mile"
"2 15","17"
"2 2","million"
"2 22","per"
"2 25","million"
"2 3","million"
"2 30","p"
"2 4","1"
"2 45","p"
"2 5","percent"
"2 50","pm"
"2 500","per"
"2 58","p"
"2 6","percent"
"2 60","/"
"2 600","students"
"2 7","billion"
"2 75","percent"
"2 8","percent"
"2 9","million"
"2 a","m"
"2 and","7"
"2 at","7"
"2 auditions","today"
"2 bathrooms","priced"
"2 billion","dollars"
"2 blinker","town"
"2 brand","new"
"2 c","u"
"2 can","t"
"2 cup","finely"
"2 cups","water"
"2 day","2"
"2 days","ago"
"2 didn","t"
"2 don","t"
"2 drinks","till"
"2 even","though"
"2 favorite","type"
"2 for","1"
"2 g","saturated"
"2 general","election"
"2 gin","3"
"2 good","luck"
"2 he","said"
"2 hour","drive"
"2 hours","ago"
"2 i","m"
"2 if","u"
"2 inches","apart"
"2 isn","t"
"2 it","s"
"2 make","u"
"2 meet","u"
"2 mi","run"
"2 mile","run"
"2 million","people"
"2 minutes","add"
"2 months","ago"
"2 more","days"
"2 my","phone"
"2 new","songs"
"2 of","us"
"2 on","monday"
"2 opponents","say"
"2 or","3"
"2 other","people"
"2 p","m"
"2 party","w"
"2 per","cent"
"2 percent","increase"
"2 price","tix"
"2 quart","baking"
"2 r","u"
"2 runs","scored"
"2 say","u"
"2 seconds","left"
"2 stars","subpar"
"2 tablespoons","chopped"
"2 teaspoons","dried"
"2 that","s"
"2 the","end"
"2 they","ll"
"2 this","week"
"2 timothy","4"
"2 to","3"
"2 together","around"
"2 tsp","paprika"
"2 w","/"
"2 weeks","ago"
"2 year","old"
"2 years","ago"
"2 you","can"
"2 yrs","ago"
"2 –","1"
"20 +","years"
"20 /","12"
"20 000","followers"
"20 12","30"
"20 21","2012"
"20 25","%"
"20 3","billion"
"20 30","minutes"
"20 a","m"
"20 and","21"
"20 cents","per"
"20 full","time"
"20 i","got"
"20 min","left"
"20 minutes","away"
"20 p","m"
"20 per","cent"
"20 the","day"
"20 to","30"
"20 win","season"
"20 yard","dumpster"
"20 year","old"
"20 years","ago"
"20 –","30"
"200 000","square"
"200 more","per"
"200 new","jobs"
"200 relay","team"
"200 we","re"
"200 years","ago"
"2000 to","2008"
"2001 a","space"
"2001 and","2003"
"2001 below","see"
"2001 terrorist","attacks"
"2001 western","conference"
"2002 and","2006"
"2004 world","series"
"2005 and","2009"
"2005 it","s"
"2005 to","2007"
"2006 and","2007"
"2006 it","s"
"2006 the","first"
"2006 to","2010"
"2007 and","2008"
"2007 to","2010"
"2008 /","9"
"2008 09","season"
"2008 and","2009"
"2008 brown","ranch"
"2008 he","s"
"2008 it","s"
"2008 presidential","election"
"2008 the","federal"
"2008 to","2011"
"2008 u","s"
"2008 when","gasoline"
"2009 /","10"
"2009 and","2010"
"2009 for","$"
"2009 it","s"
"2009 the","state"
"2009 this","year"
"2009 to","2011"
"2010 08","31"
"2010 11","school"
"2010 ]","ewca"
"2010 and","2011"
"2010 cybils","ya"
"2010 for","$"
"2010 i","gave"
"2010 it","s"
"2010 played","well"
"2010 primaries","across"
"2010 sell","0"
"2010 she","made"
"2010 the","city"
"2010 to","$"
"2010ac /","asp"
"2011 /","2012"
"2011 12","season"
"2011 2012","school"
"2011 and","will"
"2011 boston","marathon"
"2011 fiscal","year"
"2011 for","$"
"2011 i","ll"
"2011 it","s"
"2011 last","year"
"2011 oct","9"
"2011 that","s"
"2011 the","sunday"
"2011 we","re"
"2012 /","2013"
"2012 13","school"
"2012 <","3"
"2012 and","2013"
"2012 at","12"
"2012 college","football"
"2012 for","$"
"2012 i","m"
"2012 in","santa"
"2012 is","going"
"2012 it","will"
"2012 nfl","draft"
"2012 or","early"
"2012 phenom","camper"
"2012 pr","tip"
"2012 school","year"
"2012 stay","tuned"
"2012 the","first"
"2012 today","s"
"2012 u","s"
"2012 was","just"
"2012 we","will"
"2012 what","s"
"2012 work","plan"
"2013 and","2014"
"2014 butler","target"
"20pm on","91"
"20s and","30s"
"20th anniversary","celebration"
"20th century","fox"
"20thingsaboutme i","m"
"21 &","22"
"21 /","2"
"21 0","01"
"21 25","20"
"21 3","1"
"21 4","million"
"21 and","older"
"21 april","19"
"21 jump","street"
"21 m","p"
"21 p","m"
"21 year","old"
"21 years","ago"
"211 5","pounds"
"2115 woodward","detroit"
"214 609","3316"
"21st century","world"
"22 /","2011"
"22 000","square"
"22 2","vs"
"22 aug","21"
"22 home","runs"
"22 i","got"
"22 jan","19"
"22 per","share"
"22 so","far"
"22 year","old"
"23 /","2012"
"23 5","million"
"23 7","percent"
"23 at","7"
"23 g","fat"
"23 p","m"
"23 was","arrested"
"23 year","old"
"23 years","old"
"23u mid","atlantic"
"24 /","7"
"24 6","million"
"24 a","m"
"24 hours","just"
"24 more","hours"
"24 of","newark"
"24 p","m"
"24 year","old"
"24 years","old"
"2446 www","okcpartybus"
"25 /","1"
"25 000","fine"
"25 11","25"
"25 12","25"
"25 13","25"
"25 15","25"
"25 18","25"
"25 19","25"
"25 20","25"
"25 an","hour"
"25 at","arizona"
"25 consecutive","years"
"25 family","members"
"25 in","advance"
"25 it","s"
"25 million","requested"
"25 p","m"
"25 point","lead"
"25 to","$"
"25 year","old"
"25 years","ago"
"25 –","10"
"250 000","bail"
"250 to","$"
"254 716","4646"
"255 “","guides"
"26 /","2012"
"26 2","p"
"26 in","sanford"
"26 it","s"
"26 more","days"
"26 p","m"
"26 year","old"
"26 years","old"
"27 year","old"
"27 years","old"
"2701 fairview","road"
"2750 highway","k"
"277 hits","shy"
"28 /","2011"
"28 0","01"
"28 12","1"
"28 29","bring"
"28 7","%"
"28 a","m"
"28 it","s"
"28 p","m"
"28 year","old"
"29 /","2012"
"29 1","billion"
"29 3","billion"
"29 98","blu"
"29 cents","per"
"29 g","carbohydrate"
"29 year","old"
"29 years","ago"
"29th and","30th"
"2nd and","3rd"
"2nd at","7"
"2nd to","last"
"2pm and","4pm"
"2u happy","birthday"
"3 %","abv"
"3 /","4"
"3 0","lead"
"3 00","pm"
"3 000","miles"
"3 1","/"
"3 15","p"
"3 18","p"
"3 2","1"
"3 200","relay"
"3 26","million"
"3 29","%"
"3 3","/"
"3 30","p"
"3 34","0"
"3 4","million"
"3 45","p"
"3 5","million"
"3 50","mi"
"3 500","calories"
"3 51","0"
"3 6","p"
"3 7","percent"
"3 8","million"
"3 9","percent"
"3 99","/"
"3 <","3"
"3 a","m"
"3 above","pp"
"3 and","4"
"3 at","least"
"3 billion","deficit"
"3 c","s"
"3 can","t"
"3 cant","wait"
"3 cloves","garlic"
"3 course","lunch"
"3 cup","water"
"3 cups","sugar"
"3 day","weekend"
"3 days","ago"
"3 different","colors"
"3 don","t"
"3 draft","beers"
"3 fatty","acids"
"3 favorite","celebrity"
"3 feet","away"
"3 follow","please"
"3 for","3"
"3 g","saturated"
"3 good","luck"
"3 grams","fiber"
"3 great","win"
"3 haha","yeah"
"3 happy","birthday"
"3 has","begun"
"3 he","s"
"3 hey","thanks"
"3 holy","crap"
"3 hour","nap"
"3 hours","later"
"3 i","m"
"3 im","hungry"
"3 it","s"
"3 july","3"
"3 just","finished"
"3 last","night"
"3 let","s"
"3 lets","get"
"3 looking","forward"
"3 looks","like"
"3 love","u"
"3 mile","walk"
"3 miller","lite"
"3 million","acres"
"3 minutes","add"
"3 months","ago"
"3 more","hours"
"3 my","dad"
"3 no","one"
"3 of","4"
"3 on","friday"
"3 one","direction"
"3 or","4"
"3 p","m"
"3 per","game"
"3 percent","last"
"3 percentage","points"
"3 please","follow"
"3 point","attempts"
"3 points","per"
"3 pounds","thanks"
"3 repeat","allele"
"3 rt","rt"
"3 scoreless","innings"
"3 seconds","left"
"3 seed","georgetown"
"3 so","excited"
"3 thanks","bro"
"3 that","s"
"3 the","new"
"3 they","re"
"3 this","weekend"
"3 to","4"
"3 today","s"
"3 too","many"
"3 we","love"
"3 weeks","ago"
"3 what","s"
"3 who","s"
"3 with","five"
"3 x","3"
"3 year","old"
"3 years","old"
"3 you","re"
"3 yr","old"
"30 %","less"
"30 +","minutes"
"30 /","2011"
"30 0","00"
"30 000","visitors"
"30 10","30"
"30 3","30"
"30 4","p"
"30 40","minutes"
"30 45","minutes"
"30 50","%"
"30 7","30"
"30 8","p"
"30 9","30"
"30 a","m"
"30 detroit","pistons"
"30 for","30"
"30 g","fat"
"30 i","m"
"30 it","s"
"30 last","night"
"30 miles","north"
"30 million","+"
"30 min","away"
"30 minutes","remove"
"30 news","conference"
"30 or","40"
"30 p","m"
"30 percent","brighter"
"30 pm","show"
"30 seconds","add"
"30 that","will"
"30 the","market"
"30 this","morning"
"30 to","8"
"30 w","/"
"30 yard","dumpster"
"30 year","old"
"30 years","ago"
"300 a","week"
"300 block","e"
"300 grams","blanched"
"300 horses","spread"
"300 in","cash"
"300 square","foot"
"300 year","old"
"303 739","2428"
"30am 2","30pm"
"30am 3","30pm"
"30p 9","30p"
"30pm it","s"
"31 /","2"
"31 0","00"
"31 5","million"
"31 and","aug"
"31 i","think"
"31 p","m"
"31 year","old"
"31 you","can"
"313 961","5450"
"32 000","students"
"32 1","percent"
"32 3","percent"
"32 5","million"
"32 new","york"
"32 year","old"
"32 years","ago"
"323 620","6951"
"323 731","2561"
"33 /","1"
"33 0","02"
"33 happy","birthday"
"33 i","love"
"33 p","m"
"33 seconds","left"
"33 year","old"
"34 0","00"
"34 000","feet"
"34 year","old"
"347 249","9441"
"35 a","m"
"35 hour","weeks"
"35 p","m"
"35 per","hour"
